Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Code postal (de la commune principale de déroulement),Code Insee commune,Code Insee EPCI,Libellé EPCI,Numéro de voie,"Type de voie (rue, Avenue, boulevard, etc.)",Nom de la voie,Adresse postale,Complément d'adresse (facultatif),Site internet du festival,Adresse e-mail,Décennie de création du festival,Année de création du festival,Discipline dominante,Sous-catégorie spectacle vivant,Sous-catégorie musique,Sous-catégorie Musique CNM,Sous-catégorie cinéma et audiovisuel,Sous-catégorie arts visuels et arts numériques,Sous-catégorie livre et littérature,Période principale de déroulement du festival,Identifiant Agence A,Identifiant,Géocodage xy,identifiant CNM
Festival des arts imaginaires - les Arts visionnaires,,Bourgogne-Franche-Comté,Yonne,Tonnerre,89700,89418,200039642,CC Le Tonnerrois en Bourgogne,,,,,,,contact@tonnerre-factory.fr,2010 et après,2017,"Arts visuels, arts numériques",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_89418_6585,"47.8411044504, 3.97744216729",
Théâtre Bazine Festival,Intercommunale,Bourgogne-Franche-Comté,Yonne,Escolives-Sainte-Camille,89290,89155,200067114,CA de l'Auxerrois,,,,,Ferme de la Bazine,https://la-bazine-04.webself.net/le-festival,,2010 et après,2018,Spectacle vivant,Théâtre,,,,,,Saison (21 juin - 5 septembre),,FEST_89155_2129,"47.7225909756, 3.60249190307",
Garçon La Note,Régionale,Bourgogne-Franche-Comté,Yonne,Auxerre,89000,89024,200067114,CA de l'Auxerrois,7,Place,de l'Hôtel de Ville,7 Place de l'Hôtel de Ville,,https://garcon-la-note.com/,garconlanote@wanadoo.fr,De 2000 à 2009,2001,Musique,,"Chanson ou variété française, Jazz, blues, Hip-hop, rap, slam, Métal, hard rock, Musique contemporaine, Musiques du monde, Musiques électroniques, techno, Musiques traditionnelles, Pop, rock, RnB, Variétés internationales",,,,,Saison (21 juin - 5 septembre),,FEST_89024_494,"47.793488225, 3.58168281761",
La Reverdie,Départementale,Bourgogne-Franche-Comté,Yonne,Collemiers,89100,89113,248900334,CA du Grand Sénonais,,Place,de la Mairie,Place de la Mairie,,http://www.obsidienne.fr/crbst_77.html,ensemble.obsidienne@orange.fr,2010 et après,2019,Musique,,Musique classique,,,,,Avant-saison (1er janvier - 20 juin),,FEST_89113_1729,"48.153962733, 3.22037217648",
Clap 89 - Festival international du court-métrage,Inernationale,Bourgogne-Franche-Comté,Yonne,Sens,89100,89387,200010650,CA du Grand Dole,,Rocade,S,Rocade S,Cinéma Confluences Sens,http://www.clap89.com/,,De 1980 à 1989,1987,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_89387_6324,"48.1956727015, 3.29793332552",
K Cow Phonies,,Bourgogne-Franche-Comté,Yonne,Chichery,89400,89105,248900383,CC de l'Agglomération Migennoise,,,,,,https://www.facebook.com/plus2zik/events/?ref=page_internal,pierre.jacquinot@ntymail.com // plus_2_zik@hotmail.fr,De 2000 à 2009,2009,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_89105_1621,"47.9052375305, 3.50840646597",
Résonances de Vauluisant,,Bourgogne-Franche-Comté,Yonne,Courgenay,89190,89122,248900664,CC de la Vanne et du Pays d'Othe,,,,,Abbaye de Vauluisant,,resonancesdevauluisant@sfr.fr,De 1980 à 1989,1982,Musique,,"Jazz, blues, Musique classique",,,,,Avant-saison (1er janvier - 20 juin),,FEST_89122_1848,"48.2899389178, 3.54620843356",
Caractères,Transfrontalière,Bourgogne-Franche-Comté,Yonne,Auxerre,89000,89024,247100589,CA Le Grand Chalon,,,,,,https://www.festival-caracteres.fr/,info@festival-caracteres.fr.,2010 et après,2014,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_89024_491,"47.793488225, 3.58168281761",
Festival Mélusine,,Bourgogne-Franche-Comté,Yonne,Escolives-Sainte-Camille,89290,89155,200067114,CA de l'Auxerrois,,,,,,https://lesaulce.fr/actualites/festival/,,2010 et après,2014,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_89155_2128,"47.7225909756, 3.60249190307",
Salon du polar de Sens,,Bourgogne-Franche-Comté,Yonne,Sens,89100,89387,248900334,CA du Grand Sénonais,,,,,,"https://www.creee.org/salon-livre-jeunesse-chalon/#:~:text=Du%2011%20au%2013%20juin,Parc%20des%20expositions&text=Un%20super%20programme%20vous%20attend,vers%20la%20page%20Facebook%20d%C3%A9di%C3%A9e.",,2010 et après,2017,"Livre, littérature",,,,,,,Saison (21 juin - 5 septembre),,FEST_89387_6329,"48.1956727015, 3.29793332552",
Festival des foins,,Bourgogne-Franche-Comté,Yonne,Saint-Germain-des-Champs,89630,89347,200039758,"CC Avallon, Vézelay, Morvan",,Rue,Rue des Boulat,Rue Rue des Boulat,Terrain de foot,http://www.festivaldesfoins.fr/,assolaboiteameuh@gmail.com,2010 et après,2012,Musique,,"Chanson ou variété française, Musiques du monde, Pop, rock, Variétés internationales",,,,,Avant-saison (1er janvier - 20 juin),,FEST_89347_5867,"47.4173168736, 3.92129827487",
Notes d’éte à Irancy,Intercommunale,Bourgogne-Franche-Comté,Yonne,Irancy,89290,89202,200067114,CA de l'Auxerrois,,,,,,https://www.notesmusicales-irancy.com/le-festival,,2010 et après,2016,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_89202_2623,"47.7118538877, 3.68956867667",
Rencontres de Monthelon,,Bourgogne-Franche-Comté,Yonne,Montréal,89420,89267,200039709,CC du Serein,,route,de Montbard,route de Montbard,Château de Monthelon,www.monthelon.org,contact@monthelon.org,De 2000 à 2009,2006,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_89267_4127,"47.5493086429, 4.05005175601",
Les nuits de Saint-Sauveur,Intercommunale,Bourgogne-Franche-Comté,Yonne,Saint-Sauveur-en-Puisaye,89520,89368,200067130,CC de Puisaye-Forterre,1,Rue,de Bel-Air,1 Rue de Bel-Air,,http://www.lesnuitsdesaintsauveur.fr/contact/,,2010 et après,2014,Musique,,,07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_89368_6163,"47.6390792978, 3.20437842755",5013
La fête de l'art,,Bourgogne-Franche-Comté,Yonne,Saint-Sauveur-en-Puisaye,89520,89368,200067130,CC de Puisaye-Forterre,4,route,des janets,4 route des janets,Village d'Artistes La Poèterie,www.lapoeterie.com,cafe@lapoeterie.com,De 2000 à 2009,2006,Musique,,"Musique contemporaine, Musiques du monde, Musiques électroniques, techno, Pop, rock",,,,,Saison (21 juin - 5 septembre),,FEST_89368_6162,"47.6390792978, 3.20437842755",
La nuit la plus chaude,,Bourgogne-Franche-Comté,Yonne,Treigny-Perreuse-Sainte-Colombe,89520,89420,200067130,CC de Puisaye-Forterre,7,Lieu-dit,les Landris,7 Lieu-dit les Landris,,https://www.lanuitlapluschaude.com/,compagniedu1eraout@gmail.com,2010 et après,2019,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_89420_6780,"47.5555889247, 3.17487086988",
La voix dans tous les sens,,Bourgogne-Franche-Comté,Yonne,Sens,89100,89387,248900334,CA du Grand Sénonais,,Boulevard,de Garibaldi,Boulevard de Garibaldi,Théâtre municipal,http://www.asso-ardev.com/,vice.president@asso-ardev.com,De 2000 à 2009,,Musique,,"Musique classique, Opéra",,,,,Avant-saison (1er janvier - 20 juin),,FEST_89387_6326,"48.1956727015, 3.29793332552",
Art N’jazz festival,,Bourgogne-Franche-Comté,Yonne,Sainte-Vertu,89310,89371,247000755,CC du Pays de Luxeuil,,,,,,http://www.art-n-jazz.com,,2010 et après,2015,Musique,,"Jazz, blues et musiques improvisées",,,,,Après-saison (6 septembre - 31 décembre),,FEST_89371_5835,"47.7398700628, 3.91053461734",
Jazz Yonne Nord,,Bourgogne-Franche-Comté,Yonne,Vinneuf,89140,89480,248900896,CC Yonne Nord,,,,,,,philippe.ollar@orange.fr,2010 et après,2015,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_89480_7155,"48.3545827578, 3.1386704897",
Auxerre fait son Angoulême,,Bourgogne-Franche-Comté,Yonne,Auxerre,89000,89024,200036549,CC Val de Gray,,,,,,,asso.auxid@gmail.com,2010 et après,2019,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_89024_490,"47.793488225, 3.58168281761",
Musicauna,Départementale,Bourgogne-Franche-Comté,Yonne,Migennes,89400,89257,248900383,CC de l'Agglomération Migennoise,,,,,,biblio.yonne.fr,marie-therese.messiaen@yonne.fr,2010 et après,2019,Musique,,"Chanson ou variété française, Jazz, blues, Hip-hop, rap, slam, Métal, hard rock, Musique classique, Musique contemporaine, Musiques du monde, Musiques électroniques, techno, Musiques traditionnelles, Pop, rock",,,,,Après-saison (6 septembre - 31 décembre),,FEST_89257_3916,"47.9751844211, 3.53087221846",
Les estivales de Puisaye,Régionale,Bourgogne-Franche-Comté,Yonne,Champignelles,89350,89073,200067130,CC de Puisaye-Forterre,1,Rue,Arsène Duguyot,1 Rue Arsène Duguyot,,https://www.estivales-puisaye.com/,claire.fornacciar@estivales-puisaye.com // gilles.petitot@estivales-puisaye.com,De 2000 à 2009,2003,Musique,,"Musique classique, Musiques traditionnelles",,,,,Saison (21 juin - 5 septembre),,FEST_89073_1456,"47.7800283506, 3.07775894136",
Journées du manga SaYonne'ara,,Bourgogne-Franche-Comté,Yonne,Sens,89100,89387,248900334,CA du Grand Sénonais,,Rue,Saint Pierre-Le-Vif,Rue Saint Pierre-Le-Vif,,www.sayonneara.fr,c.beudin@mairie-sens.fr,2010 et après,2012,"Livre, littérature",,,,,,"Bande dessinée, comics, manga",Avant-saison (1er janvier - 20 juin),,FEST_89387_6325,"48.1956727015, 3.29793332552",
Images Sonores,Transfrontalière,Bourgogne-Franche-Comté,Yonne,Auxerre,89000,89024,200067114,CA de l'Auxerrois,,,,,,https://imagesonore.net/,contact@imagesonore.net,De 1990 à 1999,1999,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_89024_495,"47.793488225, 3.58168281761",
Afrik' au coeur,Transfrontalière,Bourgogne-Franche-Comté,Yonne,Auxerre,89000,89024,242100410,Dijon Métropole,,Rue,D’Aquitaine,Rue D’Aquitaine,,https://www.afrikaucoeur.fr/home,afrikaucoeur@laposte.net,2010 et après,2016,Pluridisciplinaire,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_89024_489,"47.793488225, 3.58168281761",
Musiques en Tonnerrois,Intercommunale,Bourgogne-Franche-Comté,Yonne,Épineuil,89700,89153,200039642,CC Le Tonnerrois en Bourgogne,3,Rue,de Quincy,3 Rue de Quincy,,www.musiquesentonnerrois.com,contact@musiquesentonnerrois.com,2010 et après,2019,Musique,,"Musique classique, Musique contemporaine",,,,,Saison (21 juin - 5 septembre),,FEST_89153_2120,"47.8812855119, 3.98935069483",
Taingy dans la rue,,Bourgogne-Franche-Comté,Yonne,Les Hauts de Forterre,89560,89405,200067130,CC de Puisaye-Forterre,,,,,Village,https://amispatrimoinetaingy.wordpress.com/,taingydanslarue@orange.fr,De 2000 à 2009,2006,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_89405_3257,"47.6123914189, 3.40803434271",
Les Harmonies Estivales,,Bourgogne-Franche-Comté,Yonne,Villeneuve-l'Archevêque,89190,89461,248900664,CC de la Vanne et du Pays d'Othe,,,,,,,sivv.secretariat@orange.fr,2010 et après,2014,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_89461_7106,"48.2355837478, 3.56315804862",
Chansonnales de Moutiers-en-Puisaye,,Bourgogne-Franche-Comté,Yonne,Moutiers-en-Puisaye,89520,89273,247100589,CA Le Grand Chalon,2,Rue,De l’église,2 Rue De l’église,,anart-scene.wix.com/chanson,anartscene@hotmail.fr,2010 et après,2017,Musique,,Chanson ou variété française,,,,,Après-saison (6 septembre - 31 décembre),,FEST_89273_4217,"47.608895157, 3.16491505392",
Utopies festivales de Pisy,,Bourgogne-Franche-Comté,Yonne,Pisy,89420,89300,200039709,CC du Serein,6,Rue,de l'Abreuvoir,6 Rue de l'Abreuvoir,6 rue de l'Abreuvoir,utopiesfestivales.fr,allardijb@gmail.com,De 2000 à 2009,2004,Musique,,"Musique classique, Musique contemporaine, Musiques du monde",07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_89300_5037,"47.5639786066, 4.14212075944",5871
Festival des Cro Mignons,Régionale,Bourgogne-Franche-Comté,Yonne,Auxerre,89000,89024,200067114,CA de l'Auxerrois,7,Rue,de l’Ile aux plaisirs,7 Rue de l’Ile aux plaisirs,SMAC le silex,www.lesilex.fr,contact@lesilex.fr,2010 et après,2018,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_89024_493,"47.793488225, 3.58168281761",
Pyhc Fest,Intercommunale,Bourgogne-Franche-Comté,Yonne,Pont-sur-Yonne,89140,89309,248900896,CC Yonne Nord,,,,,,http://www.pyhc.fr/,pyhc89@gmail.com,2010 et après,2010,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_89309_5177,"48.2787429774, 3.1934739546",
L’art est dans le pré,,Bourgogne-Franche-Comté,Yonne,Pierre-Perthuis,89450,89297,200039758,"CC Avallon, Vézelay, Morvan",5,Rue,des Acacias,5 Rue des Acacias,Precy le moult,Faramine.com,faramine@sfr.fr,2010 et après,2011,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_89297_5028,"47.4326784841, 3.79104636774",
Le festival des possibles,Départementale,Bourgogne-Franche-Comté,Yonne,Sens,89100,89387,248900334,CA du Grand Sénonais,10,Chemin,Laurent Lagoutte,10 Chemin  Laurent Lagoutte,89500 Chaumot (adresse de l'association),www.lefestivaldespossibles.org,contact@lefestivaldespossibles.org,2010 et après,2019,"Cinéma, audiovisuel",,,,"Court métrage, Documentaire, Fiction long métrage, Film d'animation",,,Après-saison (6 septembre - 31 décembre),,FEST_89387_6327,"48.1956727015, 3.29793332552",
